general_name,count_products,ingred_FPro,ingred_normalization_term
paprika,1015,0.743957784,119.8136066
palm kernel oil,1003,0.868314178,188.8057221
sodium phosphate,971,0.784375127,109.0386156
tapioca starch,960,0.819262045,202.4442341
vitamin a palmitate,937,0.596433937,118.1481622
annatto,935,0.740524437,106.699197
sodium pyrophosphate,928,0.859511575,92.58328871
brown sugar,928,0.851980958,217.1759807
tomato paste,920,0.777619608,220.3392148
food starch,899,0.821993168,137.8133098
coconut oil,884,0.808549055,188.5071859
molasse,867,0.877762558,103.1326738
caramel color,863,0.836743214,78.5192489
milkfat,818,0.849775306,123.4824884
potato,797,0.84086914,585.7575284
carrageenan,788,0.803778882,77.17072904
peanut,786,0.73012782,373.5271256
cheddar cheese,776,0.775810202,221.7283919
turmeric,737,0.739043256,71.85656278
egg white,729,0.815917442,151.8300889
wheat,728,0.831094569,180.3604562
safflower oil,725,0.845241676,177.4218002
,725,0.792692818,166.4869029
oat,723,0.855870213,332.0145911
fructose corn syrup,719,0.902835861,213.7442983
cinnamon,714,0.785150275,88.48028751
lemon juice concentrate,702,0.734767433,92.40001549
pork,689,0.742908706,392.0098044
culture,676,0.733293065,107.5761642
parsley,674,0.68983585,85.80067781
flavor,672,0.79250657,68.86132916
color,660,0.856180742,63.97439899
beef,658,0.686619737,377.8474621
corn,640,0.788720805,251.2487807
cocoa powder,632,0.802788645,107.1468235
calcium carbonate,628,0.811317411,83.74920072
virgin olive oil,627,0.710696142,166.1990913
cholecalciferol,623,0.48938467,89.91707689
cellulose gum,614,0.821789926,53.50965974
soybean flour,599,0.855035716,70.58750265
potassium sorbate,590,0.794207435,51.2517383
coconut,575,0.705000481,178.3793706
chocolate liquor,566,0.782906313,134.1783496
vitamin e,561,0.865895213,46.7679395
sodium citrate,553,0.809547224,59.6091636
olive oil,551,0.721916265,123.9671584
arabic gum,547,0.796972607,60.56590021
calcium sulfate,545,0.857498395,48.31662162
buttermilk,544,0.883519781,116.9390225
whey protein concentrate,541,0.803929035,77.07051085
fd&c yellow no 5,533,0.886410106,39.70691968
baking powder,532,0.874572183,60.88985137
calcium propionate,531,0.932054951,47.89439537
corn oil,527,0.885780092,126.1257377
ferrous sulfate,517,0.790444581,102.1334152
pectin,515,0.773170234,78.65842377
lactose,512,0.901998093,66.87787945
wheat starch,503,0.882892276,61.11207319
beta-carotene,500,0.825089678,39.71249601
celery,499,0.685531483,90.96743171
fd&c red no 40,498,0.881901318,41.12239834
egg yolk,498,0.820240859,81.36221163
paprika extract,493,0.830499643,35.68820352
flaxseed,489,0.74284561,90.18011307
vanilla,486,0.80797337,63.31336688
lemon juice,482,0.706765732,92.6828556
parmesan cheese,481,0.73059386,111.513378
sodium nitrite,477,0.801711286,42.53887833
chocolate chip,474,0.885638208,143.8743867
calcium chloride,473,0.702480409,75.47983294
apple,472,0.67346632,230.1843736
basil,468,0.660297206,84.79940488
corn syrup solid,467,0.881587508,65.88686188
ginger,466,0.738247378,69.07888989
cyanocobalamin,456,0.802802546,27.31928566
fd&c yellow no 6,455,0.900181644,33.2358947
grain oat,455,0.835039611,330.4357504
cashew,451,0.631802652,242.1885165
chicken,442,0.625760337,223.3169911
fd&c blue no 1,441,0.892421144,31.38711805
pyridoxine hydrochloride,440,0.874451956,26.10146562
apple cider vinegar,440,0.756374508,90.3721511
brown rice syrup,437,0.876463322,179.5921714
rice,437,0.792585892,206.9276873
annatto extract,436,0.866809076,34.75114006
tapioca syrup,430,0.889198733,129.9991729
sesame seed,425,0.779589807,69.73951438
potassium chloride,423,0.770139968,38.72156956
red bell pepper,414,0.709175691,71.96714887
sorbic acid,413,0.856389131,32.86138515
pea protein,410,0.721208722,102.3654391
monosodium glutamate,402,0.854726424,49.94642389
spinach,399,0.662592931,81.10761217
soy sauce,398,0.77455125,68.65231388
smoke flavor,398,0.750217641,37.59993249
milk chocolate,397,0.905880017,350.6079365
seasoning,397,0.775548061,85.4265182
brown rice flour,389,0.849696007,153.2222524
cilantro,388,0.720142551,53.22820321
soy protein isolate,386,0.834762554,111.8137522
tomato pureeee,385,0.756416373,201.9764014
malic acid,384,0.820717642,41.38750407
brown rice,384,0.756707413,143.2432348
oregano,384,0.705622865,41.99718781
white vinegar,382,0.780356916,70.15284079
rice starch,380,0.78711012,55.92221321
sodium stearoyl lactylate,379,0.926479725,28.33499355
peanut butter,373,0.81230883,151.3951943
soy protein,369,0.803335735,56.26709093
sunflower seed,361,0.713232075,101.1607979
mozzarella cheese,353,0.775351382,134.8109668
rosemary extract,351,0.621582735,46.59711519
oat fiber,340,0.879897368,53.13496851
vegetable glycerin,337,0.812897732,54.30250061
carnauba wax,334,0.893273134,30.91008502
cottonseed oil,333,0.857110715,69.05747194
datem,330,0.93188391,24.8405397
paprika oleoresin,330,0.844775485,23.17186759
jalapeno pepper,328,0.742229472,71.77847019
date,321,0.790745787,206.7337643
milk powder,319,0.858709817,57.12455853
corn flour,318,0.863454702,88.68141399
disodium inosinate,318,0.856822222,18.49199579
cane syrup,317,0.885775165,82.70494865
disodium guanylate,312,0.857073057,17.57155554
red pepper,312,0.718776801,51.47407459
sodium caseinate,310,0.818217009,29.31858228
bht,306,0.852109067,22.44562515
broccoli,299,0.64249659,113.4488632
blueberry,299,0.64034714,93.27290915
chili pepper,298,0.718281388,53.0668169
fructose,295,0.849298919,50.29434318
gellan gum,295,0.714470807,38.1869472
coffee,295,0.342115801,178.2194404
strawberry,291,0.641064126,110.7388953
cumin,284,0.69433387,30.79283385
milk protein concentrate,283,0.77980279,54.89558919
tomato powder,281,0.833230488,34.63739752
oat flour,279,0.901560053,77.33731096
alcohol,278,0.77171694,28.85502209
dough conditioner,275,0.904892652,28.86426289
barley extract,274,0.886161242,29.34165965
yellow corn flour,271,0.832438873,48.58236271
sodium ascorbate,271,0.830599861,20.36704112
sodium aluminum phosphate,268,0.926194234,28.25257695
mustard seed,268,0.692401079,39.90233335
vanilla flavor,266,0.819182807,33.14504711
stevia extract,264,0.625511024,30.53474659
fd&c red no 40 lake,260,0.905628372,20.23439636
sodium benzoate,259,0.828602092,23.88468552
disodium phosphate,258,0.85261853,21.20589746
peanut oil,256,0.70121816,51.06698338
sodium alginate,253,0.821252565,19.7989305
sucralose,253,0.738867657,26.1340944
pumpkin seed,253,0.656653468,71.38295197
tricalcium phosphate,250,0.752870114,29.45301531
fd&c yellow no 6 lake,249,0.896844486,17.42068031
apple juice concentrate,249,0.737626199,82.32437413
gelatin,248,0.82026507,43.88747929
canola,247,0.79373677,54.11644831
sodium erythorbate,245,0.784116253,26.26672241
glycerin,243,0.891110444,30.51480392
millet,242,0.815456098,36.68710697
chicken broth,241,0.70123539,64.90991872
dextrin,240,0.80277345,36.75151621
chicory root fiber,240,0.688300344,67.24763015
cow milk,238,0.676204237,55.64137458
dark chocolate,237,0.766073096,167.7797619
quinoa,237,0.752756594,52.76532384
celery powder,237,0.715407099,37.0024552
raisin,235,0.782166245,75.7266095
chia seed,235,0.664983271,49.67941792
palm,234,0.889118224,45.09729853
cellulose powder,232,0.684253041,42.1180586
corn meal,231,0.896888285,108.7517911
sodium diacetate,229,0.856018888,22.87078903
chickpeas,229,0.680825892,177.3041676
polyglycerol polyricinoleate,227,0.899115572,21.87193226
polysorbate 60,226,0.907955321,16.63480419
bha,222,0.835271095,18.89789343
methylcellulose,221,0.806275574,21.44345823
lactic acid starter culture culture culture,221,0.806182615,18.78498508
tomato juice,220,0.689165218,65.3754329
fd&c yellow no 5 lake,219,0.907107991,14.58356181
chicken fat,219,0.801925475,28.5079557
soy protein concentrate,219,0.793883757,41.25764995
vegetable juice,218,0.709449506,44.45652191
erythritol,217,0.6713251,66.31416361
cranberry,212,0.758407413,75.59832342
inulin,210,0.65387049,44.86614268
fd&c blue no 1 lake,209,0.903566851,18.71461188
spice extract,209,0.787273809,17.37812436
sauce,209,0.781942106,97.92338863
kale,208,0.595733839,55.05142822
fruit,205,0.722380982,36.2829142
natamycin,205,0.654052657,28.90978988
peanut flour,204,0.822179041,28.70282492
cauliflower,204,0.657033384,131.2025568
fumaric acid,202,0.86889739,19.83516463
pasta,202,0.82344882,148.5506313
vanillin,201,0.884977981,18.64583453
thyme,197,0.634635803,21.90012058
green bell pepper,197,0.602884593,40.40171312
mushroom,196,0.746571509,53.54881209
tapioca flour,195,0.846506084,55.26097915
coconut cream,195,0.714481539,73.07076437
thiamin hydrochloride,193,0.858433182,11.64519387
sunflower seed oil,193,0.802791719,49.99509879
sesame oil,192,0.790861269,22.18446175
ergocalciferol,192,0.764958995,16.9724763
romano cheese,191,0.838078758,22.24723782
cream tartar,190,0.876892509,18.43003018
glucose syrup,189,0.837769328,53.5812733
barley,189,0.78137721,37.83457831
black bean,189,0.64724048,93.59027547
cellulose,188,0.839328926,18.14106076
bread crumb,188,0.821708731,34.18600119
pecan,188,0.64663491,51.41349525
cucumber,184,0.722629236,114.6897045
potato flour,183,0.904157683,36.651962
wheat bran,182,0.846685264,36.9331228
coconut sugar,181,0.762719097,51.31707459
mustard,180,0.776774507,26.63994957
green onion,180,0.735506953,22.93851428
turmeric extract,179,0.827200095,14.21885846
glaze,176,0.884672358,23.29140397
coconut milk,176,0.722935874,112.2508297
pepper,176,0.716764681,46.75705759
walnut,176,0.638514299,47.97855535
ammonium bicarbonate,173,0.916350237,18.57501402
lime juice concentrate,172,0.768886579,21.04419828
lime juice,172,0.741971587,27.24991206
titanium dioxide,171,0.890265291,11.86071642
white pepper,171,0.72618272,17.13674392
vegetable shortening,170,0.932450753,44.12986355
pineapple,169,0.572560866,89.18106061
sour cream,168,0.839580915,35.91247031
sunflower,167,0.873789221,39.36905872
banana,167,0.645788874,71.59887643
silicon dioxide,166,0.84091856,14.82686436
dipotassium phosphate,166,0.741295178,21.84880702
cayenne pepper,165,0.708639208,23.64112919
rosemary,164,0.74611795,20.428222
rennet,164,0.66610543,27.61513459
calcium lactate,163,0.825907781,14.31926421
fat milk,161,0.630893682,131.1644231
grain wheat flour,159,0.941680732,96.18195971
acesulfame potassium,158,0.661270006,16.59894742
cellulose gel,157,0.794862729,14.65226376
maple syrup,157,0.740970665,43.48268398
cori,157,0.666978605,20.54326581
tbhq,156,0.917115263,13.84267637
semi-sweet chocolate,155,0.8597539,69.32817551
corn fiber,155,0.747296238,39.35406677
preservative,153,0.902526305,14.94495048
margarine,149,0.919286682,31.2270886
durum wheat semolina,144,0.490746787,88.6189176
rice vinegar,143,0.76371421,23.2318634
bell pepper,143,0.690715857,24.75736734
torula yeast,142,0.827937566,15.12057793
grain wheat,141,0.803885119,107.5630342
beet,141,0.702214059,34.86381921
zinc oxide,140,0.875545043,8.614442539
corn protein,140,0.805211397,14.95605582
vegetable,140,0.74843786,51.92850461
pea,139,0.618727836,34.6380179
turkey,139,0.579297018,108.685058
cream cheese,138,0.819150164,55.06567183
hazelnut,138,0.650661777,40.63635619
beef stock,137,0.78235262,43.90575373
amaranth,137,0.773002721,14.81324363
almond flour,137,0.75098119,72.90018958
sorbitol,135,0.812539943,20.78422742
cottonseed,135,0.804464455,28.76357948
vanilla bean,134,0.732240714,18.37093573
monterey jack cheese,134,0.69766242,42.70679737
whey protein isolate,133,0.716693653,32.22301282
whey powder,132,0.88633453,18.12440426
tomato pureeeee,131,0.726309276,61.01321791
acetate,130,0.767923067,8.181159007
acetic acid,130,0.760971849,13.38121648
polysorbate 80,128,0.804447956,12.28599435
poppy seed,128,0.799536755,16.30733343
almond milk,128,0.708441484,117.4583333
chili powder,128,0.694430747,15.74067459
mustard flour,127,0.835554507,11.69820893
raspberry,127,0.57746451,39.13544621
monk fruit extract,126,0.662819279,14.61579642
grain oat flour,125,0.910997466,43.2484238
nutmeg,125,0.639950894,16.10890006
malt extract,124,0.862425471,15.7038642
fruit pectin,124,0.829967092,24.89539668
potassium citrate,123,0.747993006,17.70018046
fd&c blue no 2 lake,122,0.902040876,7.669909137
white rice flour,121,0.834032831,43.66184371
protein blend,120,0.73612743,92.83730159
grain vinegar,118,0.93897534,9.502717448
garlic puree,117,0.778053121,11.95165122
fd&c blue no 2,116,0.893929,7.24660701
popcorn,116,0.863883615,109.7333333
oil,116,0.82510033,33.66980112
agave syrup,116,0.796220096,23.43190022
lactobacillus bulgaricus,116,0.684441677,19.20437967
clove,116,0.585688034,13.14523659
ferric orthophosphate,115,0.767500254,12.00057533
tapioca,115,0.745640027,30.51358485
potassium lactate,114,0.841756737,21.18808525
almond butter,114,0.725162098,42.46790241
sorbitan monostearate,112,0.887223276,7.424779659
calcium pantothenate,112,0.759059955,6.51518009
palm fruit oil,111,0.864197422,31.72406989
sodium metabisulfite,111,0.75101564,11.2753067
stabilizer,110,0.784049656,15.06142324
yellow corn meal,109,0.872204012,37.1555076
streptococcus thermophilus,109,0.689894639,17.4327736
butter flavor,108,0.829694999,8.880739116
corn maltodextrin,108,0.821393743,17.25154283
potato flake,108,0.815723759,29.26959984
tamarind,108,0.801541082,8.075683451
pineapple juice concentrate,108,0.706924514,26.70858308
barley malt,107,0.901316233,22.5811673
pure cane sugar,107,0.86053563,44.24134199
vegetable protein,107,0.838720343,12.711384
bay leaf,107,0.702047957,8.674919696
celery seed,107,0.637048714,12.07975273
lemon,107,0.546435535,19.51858935
fd&c red no 3,106,0.889105239,7.412653802
rye flour,106,0.849335041,21.53339797
phosphoric acid,106,0.739564187,10.07336226
sodium tripolyphosphate,106,0.528787727,17.34315018
calcium disodium edta,105,0.764126987,9.739830538
green bean,105,0.531596133,41.60218572
emulsifier,104,0.889299535,10.48289639
tahini,104,0.736762929,33.22725885
sweet potato,104,0.686079353,51.66771094
vitamin,103,0.708398531,13.84363009
zucchini,103,0.668905113,45.21739927
tapioca maltodextrin,102,0.863332436,13.31688353
cream butter,102,0.811817562,26.46839637
peach,102,0.616363557,55.41025641
ammonium sulfate,101,0.946405017,5.773132907
beef fat,101,0.8197563,9.473880954
red wine vinegar,101,0.797164993,21.40540791
magnesium chloride,101,0.698823944,15.02276764
cherry,101,0.652084043,38.66174695
vinegar powder,100,0.835750583,15.50141613
soy,100,0.793761986,11.31233153
coconut flour,100,0.775983438,30.15977444
crust,99,0.855231595,84.16071429
tofu,99,0.754085995,33.83255078
buckwheat,99,0.749716432,17.29900536
shiitake mushroom,99,0.709637249,11.28983284
cabbage,98,0.728289601,35.74633169
shrimp,98,0.534799904,67.65225326
chicken stock,97,0.770885939,60.00277778
olive,97,0.750450139,49.41312282
chicken breast,97,0.66992529,63.5802521
worcestershire sauce,96,0.796088308,11.4453666
durum wheat flour,96,0.605421591,43.24575013
jalapeno,95,0.741595023,17.83532308
pepperoni pork,94,0.903657501,16.73599909
sodium propionate,94,0.85432714,6.573097862
cheese,93,0.809302383,28.96288146
caramel,92,0.861658778,22.72950922
avocado oil,92,0.82236511,45.21507937
turbinado sugar,92,0.73389557,21.38702913
turkey breast,92,0.728923634,83.18333333
yogurt,91,0.780978181,58.00952381
lemon oil,91,0.78096767,8.490487494
magnesium oxide,91,0.764982951,6.428676744
orange,91,0.445328637,27.26001447
wheat protein isolate,90,0.883514329,14.84462898
brown rice protein,90,0.68458218,25.72983405
strawberry puree,90,0.647369317,28.14613997
lactobacillus acidophilus,90,0.640661003,13.64353502
banana puree,90,0.597152526,33.83733766
maltitol,89,0.735887545,29.32560218
biotin,89,0.696172292,3.811828163
mango,89,0.619804576,46.71468254
sorghum flour,88,0.883762546,15.37608371
skim milk powder,88,0.86105604,13.93833198
tamari,88,0.761632196,13.97203768
pistachio,88,0.528711093,47.7634127
milk solid,87,0.869650408,11.92166235
tapioca dextrin,87,0.774896624,10.45355254
sheep milk,87,0.707559966,25.39453602
dicalcium phosphate,86,0.87053758,6.178533641
cassava flour,86,0.851169999,48.64650072
ginger puree,86,0.755857635,9.29808887
seaweed,86,0.694964891,26.70919928
chive,86,0.610850719,11.58959077
agar,85,0.761444878,7.661759005
bacon,85,0.760082906,24.22569463
chicken flavor,85,0.679535623,15.13851361
malt,84,0.869830269,15.65060514
buttermilk powder,84,0.861429503,10.4260448
butter oil,84,0.856844088,8.797220017
blue cheese,84,0.781514954,12.27031836
lemon peel,84,0.743106851,9.972956135
kosher salt,84,0.738300774,14.35355755
pinto bean,84,0.60896899,56.99365079
cocoa mass,83,0.737420832,28.8762987
lecithin,82,0.828980854,9.313004479
tomato concentrate,82,0.821194896,34.98426378
rice syrup,82,0.79879827,17.77778167
red chili pepper,82,0.793937212,8.725498049
white wine,81,0.753537148,11.8054055
calcium caseinate,81,0.730453205,16.35720288
yogurt culture,81,0.625279451,17.75139305
calcium phosphate,80,0.887647361,9.39652333
parmesan,79,0.831899374,11.338407
white meat chicken,79,0.757816682,34.06025641
avocado,79,0.656181543,31.24345238
semolina,79,0.639680068,33.96230159
anchovy,79,0.628893562,17.23890609
tartaric acid,78,0.793544665,7.121461037
liquid sugar,77,0.8412492,28.36666667
with water,77,0.772302247,13.5068831
chickpea flour,77,0.769668377,37.9102933
white rice,77,0.744529535,39.33492063
sodium hexametaphosphate,77,0.737794687,6.343382456
wine,77,0.727567661,11.0788613
lowfat milk,77,0.575913808,61.27222222
hydrochloride,76,0.913268905,4.391413102
ricotta cheese,76,0.778565687,23.82139638
lemongrass,76,0.746870136,9.999459616
rice protein,76,0.74501922,13.0258658
orange juice,76,0.577650655,42.60941183
rye,75,0.866283628,12.65056341
hickory smoke flavor,75,0.744927083,8.394021472
spirulina,75,0.677825913,8.556100446
pink salt,75,0.658090214,16.61439394
peppermint oil,74,0.76539194,8.801027742
milk protein isolate,74,0.638481529,21.71587302
red onion,74,0.612981147,19.03074009
lime,74,0.58689258,20.40689074
macaroni product,73,0.851423478,60.64285714
citrus fiber,73,0.836173316,7.030182126
tetrasodium pyrophosphate,73,0.830665366,8.439885566
orange juice concentrate,73,0.753892763,20.2011766
sesame seed oil,73,0.746018735,7.158433941
cheddar,73,0.744253262,23.22361337
vegetable broth,73,0.547435155,28.41118326
hemp seed,73,0.544166482,21.80231664
freshness,72,0.907967154,6.144564776
cherry powder,72,0.774963642,8.131118881
ground flaxseed,72,0.756590661,18.47586668
apple puree concentrate,72,0.694895015,34.63484848
cacao bean,72,0.65046105,48.9011655
pineapple juice,72,0.584180136,28.58571429
wine vinegar,71,0.831961405,19.42525573
tomatillo,71,0.730073595,34.4209707
shallot,71,0.652633665,12.12678978
pork stock,70,0.859312686,5.179912291
beef extract,70,0.845545569,5.480338172
black sesame seed,70,0.770275214,10.52486998
date paste,70,0.763627386,24.16204906
cocoa liquor,70,0.721357294,21.4047619
semolina wheat,70,0.472149618,45.79444444
yeast nutrient,69,0.950719405,6.388165723
l-cysteine,69,0.870132737,4.697223839
apple juice,69,0.622348894,33.56412338
tamari soy sauce,68,0.761387647,17.15810111
coconut water,68,0.723553115,55.49166667
goat milk,68,0.637386063,55.86904762
mono,67,0.918796604,4.721200757
pure vanilla extract,67,0.850693809,8.206964131
sodium lactate,67,0.818479779,9.456264825
tomato in tomato juice,67,0.780695733,33.20515873
oat bran,67,0.679220947,13.01176383
malt syrup,66,0.92768992,11.48724239
raisin juice concentrate,66,0.834385744,8.957598862
dijon mustard,66,0.79988897,10.38968989
green pepper,66,0.770619403,12.04061674
virgin coconut oil,65,0.748494442,18.18353175
s,65,0.66093747,14.01767815
brown rice crisp,64,0.882291106,16.17935537
green chile,64,0.767386461,11.09748893
maple sugar,64,0.701496323,19.1297619
beef broth,64,0.685138525,17.94307226
cashew butter,64,0.67665565,31.30642136
shea oil,63,0.909776683,14.70063339
palm kernel,63,0.902766755,12.1770202
rice concentrate,63,0.768552227,6.460517261
allspice,63,0.692966335,5.917845675
sage,63,0.685151258,7.043218329
lentil,63,0.60999254,19.38976579
vegetable oil shortening,62,0.928334377,11.98308024
spirulina extract,62,0.849860545,7.1795519
vanilla bean extract,62,0.821367098,6.15915653
xanthan,62,0.809400215,6.248209389
chocolate with alkali,62,0.79887,15.41703852
corn masa flour,62,0.789988474,45.02683793
scallion,62,0.755093461,8.545911938
chicory root extract,62,0.721541704,19.35602453
red,62,0.672177283,14.13303622
butterfat,61,0.809345313,7.281759056
white cheddar cheese,61,0.784090054,16.72217893
semolina wheat flour,61,0.748666123,18.26666667
vegetable juice for color,61,0.740644679,6.41405349
cardamom,61,0.721860242,6.051733122
buckwheat flour,60,0.844104883,17.05918787
trace lime,60,0.752058655,10.640616
dill,60,0.682518546,9.917895482
leek,60,0.561066095,10.40053898
polyglycerol ester fatty acid,59,0.897031128,3.441433166
mango puree,59,0.671675569,26.91071429
seasoning blend,58,0.830729705,11.57062788
filling,58,0.816261082,41.41666667
potassium phosphate,58,0.717951788,8.055052709
beet powder,57,0.821382318,4.869247439
lime oil,57,0.81640633,5.52085163
grain rice,57,0.7471003,41.59194139
lacticaseibacillus casei,57,0.653879042,6.306443556
salmon,57,0.576142842,38.1047619
milk protein,56,0.870319498,5.419712404
wheat protein,56,0.830162353,6.747681039
sodium carbonate,56,0.810836509,4.12936814
vegetable oil blend,56,0.795590532,21.87230392
carrot juice concentrate,56,0.776413485,10.55833946
amylase,56,0.744897306,6.011374798
kelp,56,0.667198958,6.342907129
vegetable juice concentrate,55,0.824909495,5.435699225
vitamin c,55,0.821916405,9.722065149
glycerine,55,0.814802856,7.568398805
fennel,55,0.733480611,5.803793909
jalapeño pepper,55,0.729660126,16.43762061
celery juice,55,0.641685335,13.41528096
romano cheese cow milk,54,0.758080207,6.798058674
grain brown rice,54,0.676562603,40.925
monk fruit,54,0.628347488,6.672483072
grain blend,53,0.89473655,30.15787546
sausage,53,0.85320723,11.50580808
navy bean,53,0.713079426,33.32063492
by USa,53,0.690761523,10.87901217
green tea,53,0.677863664,7.86989326
oat milk,53,0.676356666,49.625
pear,53,0.666099682,20.83535354
sodium aluminum sulfate,52,0.919619137,4.952816552
oil blend,52,0.880358913,9.526959152
grain brown rice flour,52,0.860600017,22.91671335
ham,52,0.845682714,42.53333333
chili,52,0.769046463,8.505420003
chicken meat,52,0.766954132,14.6290515
calcium citrate,52,0.761700395,8.244196007
macadamia nut,52,0.587133686,18.85064745
sugar syrup,51,0.905685881,6.871018396
monoglyceride fatty acid,51,0.868367669,4.991709952
starch,51,0.757006324,9.236433888
asiago cheese,51,0.706925525,9.641375291
chipotle pepper,51,0.704420454,11.38897255
marjoram,51,0.636228695,5.928491667
lactobacillus bifidus,51,0.61603435,6.475779776
granola,50,0.961589625,44.45833333
crisp rice,50,0.931862577,14.57344877
brown cane sugar,50,0.914401778,12.42424242
grain sorghum flour,50,0.891123303,14.54025974
cheese sauce,50,0.860905392,25.18333333
pear juice concentrate,50,0.771411226,9.931172994
orange peel,50,0.750057826,6.283526093
coconut nectar,50,0.737789241,19.57857143
beet juice,50,0.692534624,6.924734227
chocolate coating,50,0.683931956,22.84329004
green pea,50,0.667362551,23.71382784
cayenne,50,0.603188706,7.376266217
apple puree,50,0.551247935,33.16951284
grain,49,0.928218035,22.15302753
fig paste,49,0.912286332,15.93333333
with niacin,49,0.777377371,13.22781848
tapioca fiber,49,0.664329199,16.69707515
cacao powder,49,0.536084784,15.10003608
fat mozzarella cheese,48,0.891755487,11.41986347
rapeseed oil,48,0.886179622,7.622655123
soda,48,0.878504665,6.822893773
grape juice concentrate,48,0.822884533,11.82189127
potassium carbonate,48,0.81579938,3.995884648
grill flavor,48,0.791481453,2.298649677
green chili pepper,48,0.747366064,20.16488095
herb,48,0.744187213,7.572851473
maltitol syrup,48,0.736131862,18.73571429
turmeric oleoresin,47,0.863743452,4.233104755
pepperoni,47,0.834390039,10.99280529
trisodium phosphate,47,0.828784936,4.463085248
chromium chloride,47,0.778270317,1.474006477
strawberry juice concentrate,47,0.776291626,7.744123932
spinach powder,47,0.743916426,8.223913995
sesame tahini,47,0.71980967,17.67662338
magnesium phosphate,47,0.716454589,3.94248252
egg powder,47,0.690419981,8.608380508
ginger juice,47,0.651504824,10.13106061
aspartame,47,0.622103097,10.17265512
butternut squash,47,0.529570063,26.78482143
blackberry,47,0.4048266,17.02978123
cane juice,46,0.82228929,13.77523449
horseradish,46,0.795774452,11.35578121
cheese flavor,46,0.789289489,6.852096248
quinoa flour,46,0.719007548,8.909707368
chicken breast with rib meat,46,0.63023611,23.77142857
buttermilk solid,45,0.873653663,4.928266061
kosher gelatin,45,0.86417458,8.819047619
fruit juice,45,0.81526041,7.773318713
guar,45,0.805328227,4.450393915
vitamin e acetate,45,0.782272069,3.599587548
tamarind extract,45,0.755242046,3.03136827
calcium silicate,45,0.698884881,3.740021387
vitamin a,45,0.621615364,5.792395878
propylene glycol mono,44,0.946896289,4.055294757
fatty acid,44,0.943624049,3.224780208
grape must,44,0.855560946,13.24194317
propyl gallate,44,0.847543513,3.415660694
white chocolate,44,0.840662012,19.48746994
medium chain triglyceride,44,0.839213155,3.56445616
vegetable monoglyceride,44,0.821324387,4.88358789
mozzarella,44,0.818290334,15.89481074
millet flour,44,0.806738039,10.5184316
wheat germ,44,0.785511993,6.784217791
lettuce,44,0.737716475,10.37331826
potassium iodide,44,0.726256115,1.59140147
turkey broth,44,0.694952711,21.01916667
sodium bisulfite,44,0.667146516,6.01495002
